,date,wind_speed_10m,wind_direction_10m,wind_speed_100m,wind_direction_100m
143,2025-07-05 23:00:00+05:30,9.36173,91.101685,18.466455,96.155075
144,2025-07-06 00:00:00+05:30,9.979859,97.253105,18.448023,107.020615
145,2025-07-06 01:00:00+05:30,9.906544,92.08252,17.548845,100.04196
146,2025-07-06 02:00:00+05:30,10.435344,75.004875,18.627172,84.45478
147,2025-07-06 03:00:00+05:30,11.196231,85.38944,20.160803,90.51155
148,2025-07-06 04:00:00+05:30,12.425216,91.66025,20.652988,96.50553
149,2025-07-06 05:00:00+05:30,11.362834,93.63288,18.94024,98.74608
150,2025-07-06 06:00:00+05:30,12.251905,87.47394,20.70704,91.4943
151,2025-07-06 07:00:00+05:30,13.666967,102.93806,20.605873,104.15767
152,2025-07-06 08:00:00+05:30,14.1102085,113.294586,19.73854,114.22774
153,2025-07-06 09:00:00+05:30,13.672893,106.04907,18.792551,106.699326
154,2025-07-06 10:00:00+05:30,13.775586,96.75348,18.710478,97.74025
155,2025-07-06 11:00:00+05:30,14.224556,88.54982,18.900856,89.45436
156,2025-07-06 12:00:00+05:30,15.070633,82.45067,19.44833,82.01998
157,2025-07-06 13:00:00+05:30,12.43434,67.8905,16.748707,69.22767
158,2025-07-06 14:00:00+05:30,8.553314,81.528946,12.221456,80.67649
159,2025-07-06 15:00:00+05:30,11.989945,82.234924,16.423458,80.53775
160,2025-07-06 16:00:00+05:30,10.472536,114.36244,17.986494,112.972755
161,2025-07-06 17:00:00+05:30,9.087772,97.96952,16.87398,101.07016
162,2025-07-06 18:00:00+05:30,7.6642804,80.53775,14.584445,88.58562
163,2025-07-06 19:00:00+05:30,8.777653,74.53873,17.284687,81.616844
164,2025-07-06 20:00:00+05:30,10.564941,76.20049,20.1865,81.79774
165,2025-07-06 21:00:00+05:30,10.261579,74.74483,19.32382,80.888725
166,2025-07-06 22:00:00+05:30,11.874544,75.96373,21.513577,80.853
167,2025-07-06 23:00:00+05:30,12.452566,85.85546,21.9718,88.12216
168,2025-07-07 00:00:00+05:30,13.039754,83.659904,23.057571,87.76308
169,2025-07-07 01:00:00+05:30,12.964998,88.4089,22.866377,91.353165
170,2025-07-07 02:00:00+05:30,11.811622,82.11695,20.899387,87.531944
171,2025-07-07 03:00:00+05:30,12.267762,75.55593,21.542923,80.38034
172,2025-07-07 04:00:00+05:30,11.132385,75.96373,19.67936,81.0547
173,2025-07-07 05:00:00+05:30,13.1412325,76.53478,22.491358,79.85927
174,2025-07-07 06:00:00+05:30,16.808569,80.13426,27.238941,82.40546
175,2025-07-07 07:00:00+05:30,19.987295,91.54813,30.633865,92.69423
176,2025-07-07 08:00:00+05:30,14.440443,94.28908,20.224983,94.59417
177,2025-07-07 09:00:00+05:30,17.640919,98.2127,24.592243,98.841736
178,2025-07-07 10:00:00+05:30,16.459915,95.648155,22.08432,96.082245
179,2025-07-07 11:00:00+05:30,13.379461,95.4037,17.339897,94.76356
180,2025-07-07 12:00:00+05:30,9.499157,99.81924,14.101021,104.03627
181,2025-07-07 13:00:00+05:30,7.3821945,88.60285,12.125642,95.96439
182,2025-07-07 14:00:00+05:30,9.726665,92.12105,13.339445,93.093994
183,2025-07-07 15:00:00+05:30,12.961249,80.406944,18.762356,81.170334
184,2025-07-07 16:00:00+05:30,10.5234585,77.1523,16.902758,82.042564
185,2025-07-07 17:00:00+05:30,9.354806,78.90632,15.273505,81.86999
186,2025-07-07 18:00:00+05:30,10.8955765,82.40546,19.807362,88.43781
187,2025-07-07 19:00:00+05:30,9.9408245,84.805664,18.9,90.0
188,2025-07-07 20:00:00+05:30,9.0018,88.85426,17.47484,92.36133
189,2025-07-07 21:00:00+05:30,7.458606,70.253075,15.073858,78.28756
190,2025-07-07 22:00:00+05:30,9.595874,66.80139,18.051228,73.19123
191,2025-07-07 23:00:00+05:30,9.5416975,54.21094,17.630812,62.65021
192,2025-07-08 00:00:00+05:30,10.34178,58.52322,18.116621,62.162018
193,2025-07-08 01:00:00+05:30,10.993271,50.31459,18.671474,56.003494
194,2025-07-08 02:00:00+05:30,12.996199,59.1724,22.140732,62.39341
195,2025-07-08 03:00:00+05:30,11.753877,62.65021,20.090773,67.340614
196,2025-07-08 04:00:00+05:30,14.24163,69.27436,23.45394,70.73061
197,2025-07-08 05:00:00+05:30,14.30632,68.60013,22.775513,70.132866
198,2025-07-08 06:00:00+05:30,15.676542,92.632385,23.158524,95.799126
199,2025-07-08 07:00:00+05:30,15.517629,93.99084,22.998478,96.29058
200,2025-07-08 08:00:00+05:30,12.991212,86.02759,18.014393,87.70944
201,2025-07-08 09:00:00+05:30,11.074022,82.528534,15.477906,81.30459
202,2025-07-08 10:00:00+05:30,11.032987,61.762657,15.053425,63.7414
203,2025-07-08 11:00:00+05:30,10.560341,60.376347,13.926464,63.103848
204,2025-07-08 12:00:00+05:30,14.01806,65.738716,18.152355,67.24899
205,2025-07-08 13:00:00+05:30,10.837435,78.50347,15.3264475,77.10626
206,2025-07-08 14:00:00+05:30,9.511088,119.4758,12.570394,119.1342
207,2025-07-08 15:00:00+05:30,12.496719,101.63361,17.462782,104.32276
208,2025-07-08 16:00:00+05:30,9.391102,102.17145,13.450708,105.52418
209,2025-07-08 17:00:00+05:30,13.1041975,105.945465,21.459291,108.58702
210,2025-07-08 18:00:00+05:30,11.874544,104.03627,20.778112,109.219864
211,2025-07-08 19:00:00+05:30,16.029099,124.939384,27.209188,124.21575
212,2025-07-08 20:00:00+05:30,14.766584,99.11778,26.065218,104.80402
213,2025-07-08 21:00:00+05:30,13.32,108.92474,24.43827,110.70431
214,2025-07-08 22:00:00+05:30,11.928989,95.19434,21.925297,102.324715
215,2025-07-08 23:00:00+05:30,14.957339,87.24095,25.920624,90.39787
216,2025-07-09 00:00:00+05:30,17.123669,86.98728,28.629053,91.44107
217,2025-07-09 01:00:00+05:30,16.327497,75.96373,27.343414,80.9098
218,2025-07-09 02:00:00+05:30,16.024044,91.2873,27.888384,96.29926
219,2025-07-09 03:00:00+05:30,16.764177,93.07739,28.86854,97.52373
220,2025-07-09 04:00:00+05:30,15.506141,93.32734,26.576681,98.56906
221,2025-07-09 05:00:00+05:30,13.954354,96.666565,24.251951,101.560104
222,2025-07-09 06:00:00+05:30,16.395817,87.48318,24.482647,89.1575
223,2025-07-09 07:00:00+05:30,16.199999,90.0,22.506477,91.3748
